main,guest,for_1,for_2,hav_1,hav_2,corn
Сочи,Химки,2,2,3,5,11
Арсенал,Динамо,1,2,5,4,7
Ротор,Тамбов,2,2,4,3,10
Химки,Динамо,1,2,5,4,11
Локомотив,Краснодар,1,2,5,4,9
Динамо,Ахмат,1,0,5,5,17
Локомотив,Зенит,3,2,3,4,8
Уфа,Ростов,1,1,5,6,4
Спартак,Зенит,2,2,4,4,9
Локомотив,Тамбов,2,3,3,3,7
Рубин,Урал,1,1,6,6,12
Арсенал,Урал,2,0,4,7,5
Ахмат,ЦСКА,1,1,5,5,14
Динамо,Краснодар,1,1,5,4,13
Краснодар,Химки,2,1,5,6,12
Ротор,Сочи,1,3,5,2,8
Сочи,Урал,3,1,2,5,17
Локомотив,Химки,2,1,3,5,7
Зенит,ЦСКА,3,2,2,6,14
Рубин,Спартак,1,2,5,5,9
Рубин,Тамбов,2,1,3,6,9
Ростов,Химки,2,2,3,6,6
Тамбов,Арсенал,2,1,5,5,9
Арсенал,Уфа,0,2,5,6,7
Уфа,ЦСКА,2,1,4,5,10
Уфа,Динамо,1,2,5,3,4
Динамо,Сочи,2,2,3,4,8
Краснодар,ЦСКА,2,1,3,5,9
Арсенал,Сочи,1,2,4,5,12
Сочи,Ростов,3,1,3,5,11
Ахмат,Ротор,2,1,4,5,6
Ахмат,Уфа,1,1,4,5,6
Ростов,Урал,1,0,5,8,13
Краснодар,Арсенал,2,1,4,5,8
Зенит,Арсенал,2,1,4,6,8
Урал,ЦСКА,1,1,6,6,11
Зенит,Уфа,2,2,2,5,3
Химки,Ротор,1,1,6,4,12
Локомотив,Ротор,3,2,3,3,12
Локомотив,Ахмат,2,1,4,4,5
Ростов,Локомотив,1,2,5,5,10
Краснодар,Спартак,1,2,4,4,10
Рубин,Ахмат,1,1,5,5,11
Ахмат,Урал,1,1,5,6,5
Тамбов,Химки,3,2,2,5,10
ЦСКА,Арсенал,2,2,5,4,13
Краснодар,Рубин,1,1,5,6,10
Тамбов,Спартак,1,3,4,4,2
Уфа,Спартак,1,3,3,3,13
Рубин,Уфа,1,2,6,3,12
Ахмат,Сочи,1,3,4,3,11
Урал,Тамбов,1,2,4,5,7
Урал,Локомотив,1,1,6,5,15
Зенит,Сочи,2,3,3,3,5
Тамбов,Сочи,3,3,2,2,4
ЦСКА,Динамо,2,1,5,5,11
Сочи,Краснодар,3,1,3,6,13
Сочи,Рубин,2,1,4,6,15
Арсенал,Ахмат,0,2,5,5,9
Тамбов,Уфа,0,3,3,3,6
Арсенал,Химки,1,2,5,5,16
Урал,Динамо,1,3,6,3,12
Ростов,Ахмат,2,1,6,4,18
Арсенал,Ростов,0,1,7,5,8
Динамо,Рубин,2,1,5,5,10
Краснодар,Ростов,2,1,5,5,11
Локомотив,Уфа,2,1,3,5,11
Ротор,Рубин,1,1,5,5,16
Уфа,Краснодар,1,2,5,4,12
Спартак,Локомотив,2,2,4,4,7
Спартак,Ахмат,3,0,3,6,11
Урал,Химки,1,1,5,6,7
Химки,Спартак,1,3,6,2,6
Химки,ЦСКА,1,1,6,5,6
Ростов,Зенит,1,4,5,3,4
ЦСКА,Тамбов,1,2,5,4,7
